field_category,field_name,required,type,desc,form,2025,cross_year,attribute
read,id_n,TRUE,int,Unique positive numeric identifier for filing unit,,Tax Return Data,No,No
read,Year,TRUE,int,Year,,Tax Return Data,No,No
read,weight,FALSE,float,Weight,,Tax Return Data,No,No
read,ADJST_TAXABLE_INCOME_M_9,FALSE,float,Weight,,Tax Return Data,No,No
calc,newloss1,FALSE,float,Carried Forward Loss Year 1,,Tax Return Data,No,No
calc,newloss2,FALSE,float,Carried Forward Loss Year 2,,Tax Return Data,No,No
calc,newloss3,FALSE,float,Carried Forward Loss Year 3,,Tax Return Data,No,No
calc,newloss4,FALSE,float,Carried Forward Loss Year 4,,Tax Return Data,No,No
calc,newloss5,FALSE,float,Carried Forward Loss Year 5,,Tax Return Data,No,No
calc,newloss6,FALSE,float,Carried Forward Loss Year 6,,Tax Return Data,No,No
calc,newloss7,FALSE,float,Carried Forward Loss Year 7,,Tax Return Data,No,No
calc,newloss8,FALSE,float,Carried Forward Loss Year 8,,Tax Return Data,No,No
calc,newloss9,FALSE,float,Carried Forward Loss Year 9,,Tax Return Data,No,No
calc,citax,FALSE,float,Total PIT,,Calculated by the Model,,
